name,rounds__name,rounds__matches__num,rounds__matches__date,rounds__matches__time,rounds__matches__team1__name,rounds__matches__team1__code,rounds__matches__team2__name,rounds__matches__team2__code,rounds__matches__score1,rounds__matches__score2,rounds__matches__score1i,rounds__matches__score2i,rounds__matches__score1et,rounds__matches__score2et,rounds__matches__score1p,rounds__matches__score2p,rounds__matches__knockout,rounds__matches__goals1__name,rounds__matches__goals1__minute,rounds__matches__goals1__offset,rounds__matches__goals1__score1,rounds__matches__goals1__score2,rounds__matches__goals1__owngoal,rounds__matches__goals1__penalty,rounds__matches__goals2__name,rounds__matches__goals2__minute,rounds__matches__goals2__offset,rounds__matches__goals2__score1,rounds__matches__goals2__score2,rounds__matches__goals2__penalty,rounds__matches__goals2__owngoal,rounds__matches__group,rounds__matches__stadium__key,rounds__matches__stadium__name,rounds__matches__city,rounds__matches__timezone
World Cup 2014,Matchday 1,1,2014-06-12,17:00,Brazil,BRA,Croatia,CRO,3,1,null,null,,,,,,Neymar,29,,1,1,,,Marcelo,11,,0,1,,True,Group A,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 1,1,2014-06-12,17:00,Brazil,BRA,Croatia,CRO,,,,,,,,,,Neymar,71,,2,1,,True,,,,,,,,Group A,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 1,1,2014-06-12,17:00,Brazil,BRA,Croatia,CRO,,,,,,,,,,Oscar,90,1,3,1,,,,,,,,,,Group A,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 2,2,2014-06-13,13:00,Mexico,MEX,Cameroon,CMR,1,0,null,null,,,,,,Oribe Peralta,61,,1,0,,,,,,,,,,Group A,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 2,3,2014-06-13,16:00,Spain,ESP,Netherlands,NED,1,5,null,null,,,,,,Xabi Alonso,27,,1,0,,True,Robin Van Persie,44,,1,1,,,Group B,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 2,3,2014-06-13,16:00,Spain,ESP,Netherlands,NED,,,,,,,,,,,,,,,,,Arjen Robben,53,,1,2,,,Group B,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 2,3,2014-06-13,16:00,Spain,ESP,Netherlands,NED,,,,,,,,,,,,,,,,,Stefan De Vrij,65,,1,3,,,Group B,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 2,3,2014-06-13,16:00,Spain,ESP,Netherlands,NED,,,,,,,,,,,,,,,,,Robin Van Persie,72,,1,4,,,Group B,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 2,3,2014-06-13,16:00,Spain,ESP,Netherlands,NED,,,,,,,,,,,,,,,,,Arjen Robben,80,,1,5,,,Group B,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 2,4,2014-06-13,18:00,Chile,CHI,Australia,AUS,3,1,null,null,,,,,,Alexis Sánchez,12,,1,0,,,Cahill,35,,2,1,,,Group B,pantanal,Arena Pantanal,Cuiabá,UTC-4
