name,groups__name,groups__standings__team__name,groups__standings__team__code,groups__standings__pos,groups__standings__played,groups__standings__won,groups__standings__drawn,groups__standings__lost,groups__standings__goals_for,groups__standings__goals_against,groups__standings__pts
World Cup 2014,Group A,Brazil,BRA,1,3,2,1,0,7,2,7
World Cup 2014,Group A,Mexico,MEX,2,3,2,1,0,4,1,7
World Cup 2014,Group A,Croatia,CRO,3,3,1,0,2,6,6,3
World Cup 2014,Group A,Cameroon,CMR,4,3,0,0,3,1,9,0
World Cup 2014,Group B,Netherlands,NED,1,3,3,0,0,10,3,9
World Cup 2014,Group B,Chile,CHI,2,3,2,0,1,5,3,6
World Cup 2014,Group B,Spain,ESP,3,3,1,0,2,4,7,3
World Cup 2014,Group B,Australia,AUS,4,3,0,0,3,3,9,0
World Cup 2014,Group C,Colombia,COL,1,3,3,0,0,9,2,9
World Cup 2014,Group C,Greece,GRE,2,3,1,1,1,2,4,4
World Cup 2014,Group C,Côte d'Ivoire,CIV,3,3,1,0,2,4,5,3
World Cup 2014,Group C,Japan,JPN,4,3,0,1,2,2,6,1
World Cup 2014,Group D,Costa Rica,CRC,1,3,2,1,0,4,1,7
World Cup 2014,Group D,Uruguay,URU,2,3,2,0,1,4,4,6
World Cup 2014,Group D,Italy,ITA,3,3,1,0,2,2,3,3
World Cup 2014,Group D,England,ENG,4,3,0,1,2,2,4,1
World Cup 2014,Group E,France,FRA,1,3,2,1,0,8,2,7
World Cup 2014,Group E,Switzerland,SUI,2,3,2,0,1,7,6,6
World Cup 2014,Group E,Ecuador,ECU,3,3,1,1,1,3,3,4
World Cup 2014,Group E,Honduras,HON,4,3,0,0,3,1,8,0
World Cup 2014,Group F,Argentina,ARG,1,3,3,0,0,6,3,9
World Cup 2014,Group F,Nigeria,NGA,2,3,1,1,1,3,3,4
World Cup 2014,Group F,Bosnia-Herzegovina,BIH,3,3,1,0,2,4,4,3
World Cup 2014,Group F,Iran,IRN,4,3,0,1,2,1,4,1
World Cup 2014,Group G,Germany,GER,1,3,2,1,0,7,2,7
World Cup 2014,Group G,United States,USA,2,3,1,1,1,4,4,4
World Cup 2014,Group G,Portugal,POR,3,3,1,1,1,4,7,4
World Cup 2014,Group G,Ghana,GHA,4,3,0,1,2,4,6,1
World Cup 2014,Group H,Belgium,BEL,1,3,3,0,0,4,1,9
World Cup 2014,Group H,Algeria,ALG,2,3,1,1,1,6,5,4
World Cup 2014,Group H,Russia,RUS,3,3,0,2,1,2,3,2
World Cup 2014,Group H,South Korea,KOR,4,3,0,1,2,3,6,1
